,,,Name,Section/Column,Copyright,XP,Instructor,Style,Topic Filter,Difficulty,Asset Folder,Video ID - Workouts,Duration,SSID - Workouts,Chapter 1,Chapter 2,Chapter 3,Chapter 4,Chapter 5,Chapter 6,Thumbnail Prep,Thumbnail name,Video Host
,,,Jazz Shuffle Beat Breakdown,January Workouts/Challenges,No,150,Ulysses Owens Jr.,,Grooves,4,,881052336,670,hbRYc,Basic Ride Pattern:36,Adding Hi-Hat Foot:92,Adding Bass Drum:156,Adding Snare:228,Accenting On 2nd & 4th Beats:448,Wrap-Up:526,jazz shuffle beat breakdown.jpg,jazz-shuffle-beat-breakdown.jpg,Vimeo
,,,Groove Dynamics,January Workouts/Challenges,No,150,Aaron Edgar,,Creativity,4,https://drive.google.com/drive/folders/1x730LLCahCcXdO1aV2NHNdAqno6wPH7X,875712091,680,bSNYc,Hi-Hat Dynamics:35,Accented Downbeat Hi-Hat:131,Accented Upbeat Hi-Hat:227,Downbeat Hi-Hat & Ghost Notes:401,Upbeat Hi-Hat & Ghost Notes:515,Wrap-Up:641,groove dynamics.jpg,groove-dynamics.jpg,Vimeo
,,,Beginner Double Bass Fills,January Workouts/Challenges,No,150,Aaron Edgar,,Creativity,5,https://drive.google.com/drive/folders/1x730LLCahCcXdO1aV2NHNdAqno6wPH7X,875365770,623,B6nwc,Overview:0,Fill #1:36,Fill #2:137,Fill #3:248,Fill #4:380,Fill #5:491,beginner double bass fills.jpg,beginner-double-bass-fills.jpg,Vimeo
,,,Beginner Rudiment Fills,January Workouts/Challenges,No,100,Aaron Edgar,,Creativity,2,https://drive.google.com/drive/folders/1x730LLCahCcXdO1aV2NHNdAqno6wPH7X,875358399,626,'-ntwc,Flam Fill:27,Double-Stroke-Roll Fill:147,Single-Paradiddle Fill:267,Single-Stroke-4 Fill:375,Bucket Of Fish:506,Wrap-Up:614,beginner rudiment fills.jpg,beginner-rudiment-fills.jpg,Vimeo
,,,Stick Control With Brushes,January Workouts/Challenges,No,100,Frank Bellucci,,Creativity,3,https://drive.google.com/drive/folders/1x730LLCahCcXdO1aV2NHNdAqno6wPH7X,881043873,735,Tspwc,Single Stroke Roll Righty:28,Single Stroke Roll Lefty:220,Double Stroke Roll Righty:348,Double Stroke Roll Lefty:475,Paradiddle:573,Wrap-Up:710,stick control with brushes.jpg,stick-control-with-brushes.jpg,Vimeo
,,,Left Foot Independence,January Workouts/Challenges,No,150,Kaz Rodriguez,,Creativity,5,https://drive.google.com/drive/folders/1x730LLCahCcXdO1aV2NHNdAqno6wPH7X,877281096,603,djmwc,Main Groove:35,Downbeat Quarter Notes:126,Upbeat Quarter Notes:215,Eighth Notes:337,Hi-Hat Foot Splash:464,Wrap-Up:560,left foot independence.jpg,left-foot-independence.jpg,Vimeo
,,,16th Note Accent Grid,January Workouts/Challenges,No,150,Kaz Rodriguez,,Creativity,4,https://drive.google.com/drive/folders/1x730LLCahCcXdO1aV2NHNdAqno6wPH7X?usp=drive_link,877254757,427,jCCYc,Intro:0,Main Pattern:26,Adding Bass Drum:78,Adding Hi-Hat Foot:131,Adding Hi-Hat Foot Splash:288,Wrap-Up:393,16th note accent grid.jpg,16th-note-accent-grid.jpg,Vimeo
,,,Around The Kit With Brushes,January Workouts/Challenges,No,100,Frank Bellucci,,Creativity,2,https://drive.google.com/drive/folders/1x730LLCahCcXdO1aV2NHNdAqno6wPH7X,881057729,1291,n3CYc,Main Brush Beat:18,One-Bar Long 16th Note Fills:128,Two-Bar Long 16th Note Fills:328,Applying Dynamics:630,Counting Bars:860,Wrap-Up:1262,around the kit with brushes.jpg,around-the-kit-with-brushes.jpg,Vimeo
,,,Jazz Swing Beat Foundations,January Workouts/Challenges,No,100,Ulysses Owens Jr.,Jazz,Essentials,1,https://drive.google.com/drive/folders/1x730LLCahCcXdO1aV2NHNdAqno6wPH7X,881050521,668,TGyYc,Intro:0,Ride Beat Foundations:22,Ride Swing Beat:304,Adding Foot Hi-Hat:406,Adding Bass Drum:530,Wrap-Up:615,jazz swing beat foundations.jpg,jazz-swing-beat-foundations.jpg,Vimeo
,,,Linear Grooves,January Workouts/Challenges,No,150,Aaron Edgar,,Grooves,6,https://drive.google.com/drive/folders/1x730LLCahCcXdO1aV2NHNdAqno6wPH7X,883378815,598,LKkYc,Main Linear Groove:21,Adding Bass Drum:122,Adding Ghost Note:224,Adding Extra Hi-Hat:314,Combination:422,Wrap-Up:580,linear grooves.jpg,linear-grooves.jpg,Vimeo
